year,number
2017,129
1998,0
1999,98
2000,125
2001,1.108
2002,820
2003,1.131
2004,276
2005,244
2006,385
2007,665
2008,422
2009,176
2010,417
2011,91
2012,99
2013,179
2014,494
2015,163
2016,1.081
2017,216
1998,0
1999,16
2000,0
2001,380
2002,41
2003,268
2004,182
2005,22
2006,201
2007,58
2008,175
2009,115
2010,15
2011,108
2012,25
2013,87
2014,162
2015,278
2016,126
2017,51
1998,0
1999,0
2000,7
2001,9
2002,0
2003,0
2004,2
2005,1
2006,0
2007,0
2008,8
2009,219
2010,3
2011,4
2012,18
2013,4
2014,58
2015,12
2016,22
2017,29
1998,0
1999,3
2000,0
2001,1
2002,0
2003,0
2004,6
2005,5
2006,0
2007,1
2008,0
2009,16
2010,0
2011,6
2012,22
2013,6
2014,4
2015,3
2016,7
2017,4
1998,1
1999,4
2000,0
2001,1
2002,7
2003,0
2004,2
2005,2
2006,0
2007,3
2008,0
2009,18
2010,1
2011,9
2012,2
2013,4
2014,9
2015,5
2016,0
2017,3
1998,0
1999,1
2000,9
2001,4
2002,7
2003,2
2004,18
2005,9
2006,4
2007,2
2008,4
2009,29
2010,3
2011,39
2012,4
2013,3
2014,12
2015,11
2016,11
2017,35
1998,2
1999,3
2000,12
2001,1
2002,48
2003,6
2004,9
2005,72
2006,40
2007,9
2008,17
2009,117
2010,18
2011,53
2012,67
2013,18
2014,67
2015,77
2016,19
2017,43
1998,1
1999,10
2000,25
2001,13
2002,191
2003,14
2004,53
2005,88
2006,135
2007,15
2008,78
2009,197
2010,64
2011,65
2012,152
2013,63
2014,61
2015,181
2016,101
2017,156
1998,1
1999,15
2000,32
2001,76
2002,133
2003,27
2004,135
2005,135
2006,26
2007,112
2008,39
2009,312
2010,27
2011,121
2012,187
2013,106
2014,143
2015,280
2016,71
2017,327
1998,16
1999,35
2000,77
2001,76
2002,199
2003,157
2004,160
2005,71
2006,101
2007,8
2008,5
2009,290
2010,73
2011,249
2012,78
2013,65
2014,277
2015,304
2016,136
1998,0
1999,11
2000,14
2001,11
2002,22
2003,45
2004,37
2005,46
2006,41
2007,9
2008,25
2009,21
2010,2
2011,9
2012,14
2013,18
2014,58
2015,28
2016,53
2017,46
1998,0
1999,2
2000,8
2001,0
2002,5
2003,43
2004,29
2005,46
2006,18
2007,14
2008,29
2009,7
2010,15
2011,1
2012,13
2013,12
2014,27
2015,23
2016,10
2017,31
1998,0
1999,7
2000,46
2001,1
2002,12
2003,58
2004,73
2005,92
2006,48
2007,23
2008,14
2009,33
2010,9
2011,8
2012,65
2013,14
2014,15
2015,37
2016,21
2017,12
1998,0
1999,0
2000,7
2001,1
2002,7
2003,120
2004,59
2005,25
2006,30
2007,2
2008,31
2009,57
2010,19
2011,5
2012,40
2013,46
2014,34
2015,32
2016,36
2017,26
1998,0
1999,1
2000,0
2001,2
2002,3
2003,84
2004,2
2005,21
2006,33
2007,2
2008,15
2009,33
2010,1
2011,16
2012,60
2013,52
2014,42
2015,70
2016,26
2017,36
1998,2
1999,0
2000,2
2001,1
2002,0
2003,68
2004,127
2005,58
2006,32
2007,11
2008,2
2009,14
2010,1
2011,26
2012,42
2013,31
2014,3
2015,104
2016,79
2017,70
1998,0
1999,2
2000,21
2001,5
2002,82
2003,43
2004,94
2005,90
2006,74
2007,12
2008,46
2009,26
2010,31
2011,31
2012,42
2013,69
2014,82
2015,45
2016,480
2017,591
1998,0
1999,51
2000,69
2001,24
2002,702
2003,1.513
2004,728
2005,391
2006,728
2007,462
2008,51
2009,759
2010,511
2011,175
2012,398
2013,236
2014,459
2015,379
2016,765
2017,713
1998,6
1999,101
2000,36
2001,18
2002,416
2003,1.339
2004,755
2005,116
2006,530
2007,617
2008,233
2009,47
2010,198
2011,450
2012,188
2013,303
2014,208
2015,156
2016,644
2017,626
1998,4
1999,16
2000,55
2001,26
2002,42
2003,669
2004,704
2005,197
2006,269
2007,35
2008,56
2009,252
2010,76
2011,102
2012,34
2013,107
2014,122
2015,21
2016,56
2017,51
1998,21
1999,84
2000,19
2001,66
2002,348
2003,347
2004,279
2005,384
2006,45
2007,26
2008,16
2009,61
2010,88
2011,79
2012,72
2013,84
2014,43
2015,9
2016,156
2017,152
1998,26
1999,89
2000,29
2001,45
2002,76
2003,129
2004,68
2005,17
2006,7
2007,17
2008,29
2009,20
2010,23
2011,24
2012,32
2013,74
2014,45
2015,19
2016,20
1998,0
1999,7
2000,36
2001,26
2002,19
2003,59
2004,37
2005,26
2006,76
2007,14
2008,34
2009,12
2010,45
2011,75
2012,38
2013,36
2014,99
2015,120
2016,85
2017,28
1998,0
1999,47
2000,25
2001,25
2002,19
2003,137
2004,41
2005,78
2006,59
2007,96
2008,30
2009,65
2010,152
2011,73
2012,81
2013,100
2014,112
2015,69
2016,188
2017,107
1998,0
1999,78
2000,26
2001,35
2002,111
2003,86
2004,73
2005,73
2006,106
2007,152
2008,72
2009,55
2010,111
2011,45
2012,99
2013,57
2014,75
2015,68
2016,82
2017,103
1998,0
1999,291
2000,102
2001,61
2002,178
2003,106
2004,36
2005,62
2006,63
2007,44
2008,84
2009,67
2010,91
2011,52
2012,82
2013,103
2014,103
2015,76
2016,307
2017,41
1998,0
1999,500
2000,300
2001,211
2002,319
2003,69
2004,60
2005,212
2006,88
2007,69
2008,40
2009,142
2010,150
2011,136
2012,82
2013,118
2014,181
2015,65
2016,139
2017,43
1998,451
1999,522
2000,606
2001,346
2002,562
2003,132
2004,231
2005,236
2006,97
2007,91
2008,25
2009,125
2010,143
2011,210
2012,30
2013,47
2014,331
2015,147
2016,197
2017,217
1998,596
1999,684
2000,770
2001,538
2002,448
2003,171
2004,342
2005,284
2006,245
2007,94
2008,126
2009,110
2010,600
2011,479
2012,179
2013,181
2014,476
2015,149
2016,687
2017,802
1998,581
1999,1.211
2000,915
2001,595
2002,719
2003,934
2004,794
2005,522
2006,572
2007,470
2008,153
2009,289
2010,1.809
2011,1.067
2012,435
2013,497
2014,1.458
2015,643
2016,797
2017,981
1998,525
1999,911
2000,582
2001,425
2002,302
2003,977
2004,809
2005,231
2006,694
2007,495
2008,486
2009,116
2010,1.677
2011,1.108
2012,813
2013,560
2014,882
2015,368
2016,490
2017,2.868
1998,434
1999,763
2000,647
2001,444
2002,733
2003,422
2004,195
2005,221
2006,153
2007,281
2008,87
2009,64
2010,260
2011,188
2012,206
2013,127
2014,887
2015,213
2016,177
2017,179
1998,488
1999,398
2000,96
2001,168
2002,72
2003,155
2004,144
2005,163
2006,43
2007,50
2008,20
2009,83
2010,104
2011,87
2012,50
2013,120
2014,56
2015,21
2016,39
2017,37
1998,121
1999,47
2000,23
2001,52
2002,57
2003,58
2004,102
2005,15
2006,13
2007,21
2008,36
2009,37
2010,52
2011,53
2012,64
2013,109
2014,57
2015,45
2016,47
1998,0
1999,36
2000,1
2001,2
2002,1
2003,198
2004,16
2005,80
2006,36
2007,56
2008,100
2009,60
2010,29
2011,36
2012,39
2013,34
2014,20
2015,44
2016,9
2017,31
1998,0
1999,25
2000,6
2001,2
2002,6
2003,50
2004,10
2005,19
2006,36
2007,22
2008,67
2009,64
2010,33
2011,31
2012,34
2013,47
2014,18
2015,40
2016,22
2017,18
1998,0
1999,18
2000,6
2001,1
2002,7
2003,62
2004,36
2005,28
2006,41
2007,2
2008,43
2009,29
2010,44
2011,47
2012,71
2013,67
2014,33
2015,49
2016,26
2017,16
1998,0
1999,6
2000,1
2001,0
2002,12
2003,48
2004,13
2005,8
2006,9
2007,1
2008,2
2009,19
2010,1
2011,12
2012,40
2013,15
2014,7
2015,35
2016,14
2017,8
1998,0
1999,0
2000,0
2001,3
2002,0
2003,2
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,17
2013,1
2014,1
2015,11
2016,9
2017,1
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,2
2010,0
2011,1
2012,3
2013,1
2014,0
2015,3
2016,1
2017,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,0
2017,0
1998,0
1999,0
2000,0
2001,0
2002,2
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,0
2016,6
2017,0
1998,0
1999,0
2000,0
2001,1
2002,0
2003,3
2004,0
2005,2
2006,0
2007,0
2008,0
2009,1
2010,0
2011,0
2012,1
2013,1
2014,4
2015,1
2016,2
2017,0
1998,0
1999,0
2000,3
2001,5
2002,20
2003,2
2004,3
2005,11
2006,3
2007,3
2008,0
2009,1
2010,1
2011,5
2012,1
2013,3
2014,3
2015,6
2016,10
2017,0
1998,12
1999,3
2000,0
2001,5
2002,57
2003,2
2004,41
2005,23
2006,5
2007,7
2008,17
2009,9
2010,16
2011,4
2012,6
2013,7
2014,9
2015,47
2016,17
2017,1
1998,8
1999,5
2000,0
2001,5
2002,103
2003,36
2004,66
2005,29
2006,17
2007,33
2008,14
2009,21
2010,19
2011,36
2012,18
2013,9
2014,9
2015,63
2016,36
1998,0
1999,36
2000,15
2001,19
2002,35
2003,35
2004,40
2005,66
2006,91
2007,34
2008,28
2009,43
2010,79
2011,14
2012,12
2013,50
2014,89
2015,186
2016,42
2017,61
1998,0
1999,1
2000,6
2001,6
2002,48
2003,15
2004,7
2005,27
2006,14
2007,8
2008,6
2009,21
2010,32
2011,13
2012,45
2013,37
2014,73
2015,65
2016,383
2017,25
1998,0
1999,1
2000,4
2001,0
2002,33
2003,19
2004,23
2005,13
2006,11
2007,99
2008,4
2009,23
2010,120
2011,16
2012,80
2013,60
2014,58
2015,85
2016,165
2017,98
1998,0
1999,9
2000,0
2001,19
2002,37
2003,64
2004,52
2005,52
2006,4
2007,22
2008,46
2009,5
2010,419
2011,106
2012,226
2013,130
2014,187
2015,88
2016,369
2017,164
1998,0
1999,24
2000,69
2001,48
2002,138
2003,96
2004,350
2005,236
2006,35
2007,250
2008,81
2009,91
2010,580
2011,354
2012,467
2013,373
2014,618
2015,512
2016,778
2017,576
1998,252
1999,113
2000,278
2001,305
2002,396
2003,329
2004,1.079
2005,669
2006,289
2007,591
2008,282
2009,421
2010,767
2011,717
2012,922
2013,873
2014,1.372
2015,1.15
2016,1.148
2017,1.32
1998,640
1999,373
2000,500
2001,830
2002,976
2003,762
2004,1.389
2005,1.082
2006,430
2007,982
2008,441
2009,989
2010,2.408
2011,1.001
2012,1.693
2013,1.393
2014,1.404
2015,1.217
2016,2.737
2017,2.397
1998,3.747
1999,1.284
2000,1.949
2001,2.242
2002,3.027
2003,1.339
2004,1.776
2005,1.84
2006,1.277
2007,4.747
2008,845
2009,1.124
2010,7.865
2011,1.668
2012,4.28
2013,1.81
2014,2.917
2015,2.54
2016,3.213
2017,3.536
1998,5.149
1999,3.415
2000,2.552
2001,4.839
2002,5.314
2003,4.637
2004,5.308
2005,5.319
2006,2.979
2007,6.829
2008,2.39
2009,2.017
2010,10.172
2011,4.658
2012,7.46
2013,2.445
2014,3.52
2015,5.51
2016,3.245
2017,10.737
1998,1.738
1999,1.378
2000,1.053
2001,684
2002,1.537
2003,1.339
2004,1.658
2005,2.913
2006,1.176
2007,2.252
2008,2.832
2009,718
2010,2.272
2011,1.591
2012,3.68
2013,2.155
2014,4
2015,4.844
2016,2.032
2017,2.969
1998,1
1999,29
2000,96
2001,100
2002,207
2003,146
2004,424
2005,271
2006,108
2007,147
2008,104
2009,251
2010,283
2011,144
2012,179
2013,345
2014,451
2015,833
2016,623
2017,434
1998,9
1999,16
2000,20
2001,21
2002,39
2003,109
2004,96
2005,53
2006,15
2007,13
2008,7
2009,46
2010,72
2011,105
2012,128
2013,85
2014,223
2015,373
2016,119
