year,number
1998,55
1999,64
2000,178
2001,98
2002,118
2003,140
2004,289
2005,211
2006,68
2007,270
2008,72
2009,92
2010,192
2011,345
2012,385
2013,208
2014,243
2015,242
2016,416
2017,329
1998,219
1999,107
2000,202
2001,248
2002,549
2003,261
2004,310
2005,269
2006,229
2007,811
2008,271
2009,321
2010,519
2011,578
2012,906
2013,362
2014,249
2015,306
2016,345
2017,300
1998,815
1999,453
2000,633
2001,979
2002,1.827
2003,1.039
2004,1.43
2005,948
2006,995
2007,3.734
2008,611
2009,439
2010,2.423
2011,1.795
2012,1.835
2013,610
2014,674
2015,829
2016,724
2017,1.018
1998,2.718
1999,1.275
2000,2.285
2001,3.964
2002,6.439
2003,8.847
2004,6.433
2005,4.066
2006,3.006
2007,7.438
2008,4.837
2009,3.61
2010,5.323
2011,7.086
2012,7.495
2013,2.681
2014,2.604
2015,7.956
2016,1.819
2017,1.791
1998,1.969
1999,1.307
2000,3.35
2001,1.687
2002,5.414
2003,4.264
2004,4.81
2005,8.405
2006,2.079
2007,4.981
2008,7.691
2009,2.552
2010,5.264
2011,2.166
2012,4.607
2013,1.969
2014,2.763
2015,4.989
2016,1.415
2017,4.005
1998,49
1999,49
2000,114
2001,699
2002,1.02
2003,533
2004,1.736
2005,1.595
2006,239
2007,2.126
2008,3.175
2009,402
2010,605
2011,176
2012,168
2013,288
2014,348
2015,1.705
2016,408
2017,174
1998,82
1999,37
2000,24
2001,158
2002,848
2003,710
2004,423
2005,116
2006,169
2007,259
2008,52
2009,308
2010,226
2011,230
2012,477
2013,131
2014,144
2015,1.408
2016,164
1998,0
1999,47
2000,1
2001,11
2002,33
2003,264
2004,143
2005,384
2006,211
2007,304
2008,166
2009,347
2010,288
2011,32
2012,273
2013,103
2014,115
2015,207
2016,100
2017,91
1998,0
1999,16
2000,6
2001,0
2002,75
2003,9
2004,5
2005,25
2006,23
2007,3
2008,12
2009,8
2010,63
2011,2
2012,41
2013,49
2014,18
2015,25
2016,13
2017,9
1998,0
1999,30
2000,9
2001,0
2002,17
2003,3
2004,1
2005,5
2006,3
2007,2
2008,2
2009,3
2010,40
2011,6
2012,10
2013,17
2014,6
2015,20
2016,4
2017,4
1998,0
1999,6
2000,15
2001,2
2002,5
2003,3
2004,2
2005,4
2006,1
2007,1
2008,0
2009,0
2010,7
2011,1
2012,2
2013,4
2014,4
2015,3
2016,10
2017,6
1998,0
1999,5
2000,7
2001,81
2002,10
2003,0
2004,3
2005,1
2006,0
2007,0
2008,0
2009,0
2010,2
2011,0
2012,19
2013,4
2014,4
2015,17
2016,8
2017,9
1998,1
1999,16
2000,16
2001,38
2002,13
2003,2
2004,1
2005,6
2006,0
2007,1
2008,1
2009,0
2010,3
2011,5
2012,28
2013,5
2014,19
2015,22
2016,45
2017,23
1998,76
1999,83
2000,18
2001,146
2002,12
2003,14
2004,16
2005,14
2006,1
2007,11
2008,3
2009,7
2010,44
2011,18
2012,50
2013,4
2014,47
2015,25
2016,124
2017,26
1998,93
1999,131
2000,79
2001,219
2002,111
2003,109
2004,61
2005,51
2006,50
2007,182
2008,32
2009,26
2010,202
2011,53
2012,278
2013,32
2014,155
2015,127
2016,293
2017,121
1998,590
1999,124
2000,127
2001,801
2002,172
2003,384
2004,144
2005,185
2006,237
2007,241
2008,177
2009,101
2010,357
2011,239
2012,609
2013,177
2014,155
2015,214
2016,370
2017,505
1998,1.014
1999,309
2000,875
2001,2.045
2002,1.606
2003,1.761
2004,1.217
2005,1.378
2006,581
2007,964
2008,816
2009,435
2010,502
2011,415
2012,1.104
2013,466
2014,517
2015,658
2016,1.31
2017,949
1998,575
1999,524
2000,669
2001,2.456
2002,2.715
2003,3.327
2004,2.9
2005,2.483
2006,1.012
2007,1.443
2008,1.753
2009,1.653
2010,1.652
2011,1.561
2012,995
2013,1.081
2014,829
2015,1.081
2016,1.328
2017,812
1998,276
1999,397
2000,389
2001,545
2002,1.787
2003,2.436
2004,3.158
2005,1.36
2006,1.161
2007,1.177
2008,1.655
2009,1.987
2010,578
2011,1.441
2012,631
2013,956
2014,643
2015,1.021
2016,819
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,1
2010,2
2011,2
2012,0
2013,0
2014,0
2015,1
2016,1
2017,1
1998,0
1999,2
2000,0
2001,1
2002,0
2003,1
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,4
2011,1
2012,0
2013,1
2014,1
2015,0
2016,2
2017,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,1
2008,2
2009,0
2010,0
2011,0
2012,0
2013,1
2014,1
2015,0
2016,1
2017,0
1998,0
1999,0
2000,0
2001,0
2002,1
2003,0
2004,1
2005,0
2006,0
2007,0
2008,1
2009,0
2010,8
2011,1
2012,4
2013,1
2014,2
2015,0
2016,5
2017,1
1998,0
1999,0
2000,2
2001,0
2002,1
2003,0
2004,9
2005,2
2006,3
2007,4
2008,6
2009,9
2010,23
2011,3
2012,0
2013,2
2014,9
2015,2
2016,15
2017,6
1998,2
1999,3
2000,1
2001,3
2002,7
2003,11
2004,6
2005,3
2006,2
2007,21
2008,0
2009,4
2010,21
2011,18
2012,6
2013,4
2014,6
2015,1
2016,42
2017,23
1998,17
1999,4
2000,15
2001,22
2002,33
2003,19
2004,37
2005,24
2006,10
2007,25
2008,12
2009,33
2010,85
2011,53
2012,29
2013,22
2014,27
2015,15
2016,79
2017,44
1998,48
1999,16
2000,9
2001,25
2002,53
2003,36
2004,108
2005,20
2006,40
2007,137
2008,30
2009,37
2010,159
2011,61
2012,55
2013,34
2014,99
2015,53
2016,29
2017,147
1998,33
1999,12
2000,3
2001,12
2002,33
2003,17
2004,100
2005,23
2006,20
2007,73
2008,54
2009,5
2010,196
2011,133
2012,64
2013,31
2014,72
2015,76
2016,58
2017,122
1998,3
1999,8
2000,18
2001,0
2002,19
2003,12
2004,18
2005,18
2006,1
2007,13
2008,6
2009,3
2010,6
2011,0
2012,15
2013,3
2014,34
2015,21
2016,9
2017,66
1998,0
1999,1
2000,0
2001,0
2002,1
2003,0
2004,0
2005,2
2006,0
2007,0
2008,4
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,3
2016,1
2017,0
1998,0
1999,0
2000,0
2001,1
2002,1
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,1
2011,0
2012,0
2013,2
2014,0
2015,0
2016,0
1998,0
1999,33
2000,5
2001,1
2002,2
2003,4
2004,1
2005,4
2006,13
2007,0
2008,12
2009,4
2010,52
2011,3
2012,1
2013,10
2014,11
2015,76
2016,43
2017,13
1998,0
1999,10
2000,5
2001,5
2002,4
2003,11
2004,5
2005,1
2006,45
2007,3
2008,20
2009,12
2010,15
2011,42
2012,25
2013,15
2014,17
2015,60
2016,24
2017,8
1998,0
1999,8
2000,1
2001,2
2002,4
2003,28
2004,3
2005,3
2006,14
2007,9
2008,5
2009,11
2010,3
2011,5
2012,35
2013,13
2014,15
2015,25
2016,107
2017,9
1998,0
1999,2
2000,3
2001,2
2002,2
2003,22
2004,0
2005,4
2006,1
2007,2
2008,8
2009,8
2010,7
2011,3
2012,74
2013,16
2014,15
2015,33
2016,57
2017,7
1998,0
1999,16
2000,2
2001,8
2002,5
2003,1
2004,0
2005,5
2006,0
2007,1
2008,2
2009,7
2010,3
2011,2
2012,20
2013,14
2014,18
2015,17
2016,48
2017,10
1998,6
1999,6
2000,9
2001,9
2002,18
2003,19
2004,3
2005,8
2006,5
2007,4
2008,4
2009,12
2010,3
2011,7
2012,15
2013,22
2014,9
2015,18
2016,49
2017,37
1998,37
1999,9
2000,16
2001,12
2002,9
2003,27
2004,4
2005,9
2006,11
2007,13
2008,5
2009,25
2010,5
2011,18
2012,35
2013,20
2014,17
2015,30
2016,42
2017,3
1998,38
1999,60
2000,26
2001,30
2002,60
2003,118
2004,12
2005,12
2006,29
2007,82
2008,13
2009,17
2010,39
2011,93
2012,12
2013,53
2014,47
2015,35
2016,78
2017,30
1998,108
1999,64
2000,14
2001,38
2002,46
2003,252
2004,47
2005,8
2006,87
2007,63
2008,78
2009,57
2010,53
2011,108
2012,48
2013,30
2014,61
2015,228
2016,128
2017,58
1998,20
1999,23
2000,88
2001,19
2002,113
2003,159
2004,48
2005,62
2006,10
2007,79
2008,100
2009,13
2010,32
2011,38
2012,62
2013,37
2014,89
2015,307
2016,58
2017,56
1998,4
1999,9
2000,3
2001,3
2002,22
2003,49
2004,42
2005,0
2006,0
2007,112
2008,3
2009,18
2010,3
2011,6
2012,7
2013,11
2014,20
2015,141
2016,8
2017,3
1998,5
1999,0
2000,3
2001,1
2002,12
